id,title,composer_or_origin,culture,program_evidence,score_data_status,license_risk,can_bundle_now,recommended_action,source_url,notes
world_013,When the Saints Go Marching In,traditional spiritual,world,beginner recorder repertoire,score data widely available,low for tune; arrangement check needed,yes_with_own_arrangement,create own melody-only arrangement,https://schoolbandclass.com/library/instrument/recorder,Level 2
world_014,Aura Lee,Poulton / Fosdick,world,beginner recorder repertoire,score data available,composition public domain; arrangement check needed,yes_with_own_arrangement,create own arrangement,https://schoolbandclass.com/library/instrument/recorder,Level 2
world_015,Scarborough Fair,traditional English,world,recorder beginner/intermediate repertoire,score data widely available,low for traditional melody; modern versions can be copyrighted,yes_with_own_arrangement,create own public-domain folk variant,https://www.ibiblio.org/mutopia/,Avoid modern copyrighted arrangements
world_016,Greensleeves,traditional English,world,recorder beginner/intermediate repertoire,score data widely available,low for traditional melody; arrangement check needed,yes_with_own_arrangement,create own recorder arrangement,https://www.ibiblio.org/mutopia/,Good level 3 candidate
world_017,The Blue Bells of Scotland,traditional Scottish,world,recorder repertoire,score data available in public-domain collections,low for melody; arrangement check needed,yes_with_own_arrangement,create own recorder arrangement,https://www.ibiblio.org/mutopia/,Level 3
world_018,Minuet in G,Petzold / Bach Notebook,world,ABRSM/graded-style beginner classical repertoire,score data available from PD sources,low for composition; check edition,yes_with_own_arrangement,create simplified soprano-recorder line,https://imslp.org/,Often misattributed to Bach
world_019,E. kleine Nachtmusik theme,Mozart,world,classical adaptation,score data available from PD sources,low for composition; arrangement check needed,yes_with_own_arrangement,create excerpt arrangement,https://imslp.org/,Adapt only main theme
world_020,Spring theme,Vivaldi / Four Seasons,world,classical adaptation,score data available from PD sources,low for composition; arrangement check needed,yes_with_own_arrangement,create excerpt arrangement,https://imslp.org/,Level 4
world_021,Canon in D theme,Pachelbel,world,classical adaptation,score data available from PD sources,low for composition; arrangement check needed,yes_with_own_arrangement,create melody/bass-pattern study,https://imslp.org/,Level 4
world_022,Habanera theme,Bizet / Carmen,world,classical adaptation,score data available from PD sources,low for composition; arrangement check needed,yes_with_own_arrangement,create excerpt arrangement,https://imslp.org/,Rhythm may need simplification
world_023,Swan Lake theme,Tchaikovsky,world,classical adaptation,score data available from PD sources,low for composition; arrangement check needed,yes_with_own_arrangement,create excerpt arrangement,https://imslp.org/,Level 4
world_024,Largo from New World Symphony,Dvorak,world,classical adaptation,score data available from PD sources,low for composition; arrangement check needed,yes_with_own_arrangement,create excerpt arrangement,https://imslp.org/,Level 4
ru_001,Как под горкой под горой,Russian folk,russian_program,found in beginner recorder method listings,score found in recorder collections,low for melody; check collection arrangement,yes_with_own_arrangement,create own beginner MusicXML,https://igraj-poj.narod.ru/load/recorder/sheet_music/a_kiskachi_blokflejta_shkola_dlja_nachinajushhikh_vypusk_1/20-1-0-688,Confirmed in Kiskachi beginner blockflute collection listing
ru_002,Во поле береза стояла,Russian folk,russian_program,found in recorder-note sites and school programs,score found for blockflute,low for melody; check site arrangement,yes_with_own_arrangement,create own beginner MusicXML,https://recorder.ucoz.com/publ/noty_dlja_blokflejty/narodnye_melodii/vo_pole_bereza_stojala/3-1-0-6,Good first Russian import
ru_003,Ходила младешенька,Russian folk,russian_program,found in school/program repertoire,score data likely in folk collections,low for melody; check arrangement,yes_with_own_arrangement,create own arrangement after source confirmation,https://notes.tarakanov.net/katalog/kompozitsii/blokfleita-repertyarnii-sbornik-dlya-nachinayushchih/,Need exact free source before import
ru_004,Про кота,Russian folk,russian_program,found in beginner recorder method listing,score listed in Kiskachi collection,low for folk melody; check arrangement,yes_with_own_arrangement,create own beginner arrangement,https://igraj-poj.narod.ru/load/recorder/sheet_music/a_kiskachi_blokflejta_shkola_dlja_nachinajushhikh_vypusk_1/20-1-0-688,Level 1
ru_005,Перепелочка,Belarusian folk,russian_program,found in beginner recorder collections,score found for blockflute,low for melody; arrangement may be protected,yes_with_own_arrangement,create own arrangement from folk melody,https://svirel.org/noty-dlya-blokflejty/noty-dlya-nachinayushhih/,Avoid bundled third-party PDF unless license confirmed
ru_006,Маленькая полька,D. Kabalevsky,russian_program,found in school75 blockflute program,score likely available in printed collections,high; Kabalevsky died 1987,no,exclude until licensed,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Can keep metadata as recommended program item only
ru_007,Аллегретто,Mozart,russian_program,found in school75 blockflute program,score available from PD sources,low for composition; exact educational arrangement check,yes_with_own_arrangement,identify exact source and arrange melody,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Title ambiguous
ru_008,Аллегретто,Beethoven,russian_program,found in school75 blockflute program,score available from PD sources,low for composition; exact educational arrangement check,yes_with_own_arrangement,identify exact source and arrange melody,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Title ambiguous
ru_009,Пьеска,Schumann,russian_program,found in school75 blockflute program,score likely available from PD sources,low for composition; exact arrangement check,yes_with_own_arrangement,identify exact Schumann piece,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Needs catalog/title disambiguation
ru_010,Вальс,Schubert,russian_program,found in school75 and recorder collection listings,score available from PD sources,low for composition; exact arrangement check,yes_with_own_arrangement,identify exact waltz and arrange,https://notes.tarakanov.net/katalog/kompozitsii/blokfleita-repertyarnii-sbornik-dlya-nachinayushchih/,Title ambiguous
ru_011,Кошечка,V. Vitlin,russian_program,found in school75 program,score likely in protected method books,high; modern composer/edition,no,exclude until licensed,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Metadata only
ru_012,Дятел,I. Pushechnikov,russian_program,found in school75 program,score likely in protected method books,high; modern author/edition,no,exclude until licensed,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Metadata only
ru_013,Кораблик,B. Mayzel,russian_program,found in school75/nsportal programs,score likely protected,high; modern educational piece,no,exclude until licensed,https://nsportal.ru/kultura/muzykalnoe-iskusstvo/library/2016/12/16/rabochaya-programma-po-predmetu-muzykalnyy,Metadata only
ru_014,Ария,Purcell,russian_program,found in school75 program,PD score data available,low for composition; check arrangement,yes_with_own_arrangement,identify exact aria and arrange,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Good level 3 candidate after disambiguation
ru_015,Песня пастушка,Mozart,russian_program,found in school75 program,score data likely available,low for composition; exact source check,yes_with_own_arrangement,identify original and arrange,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Needs disambiguation
ru_016,Хороший день,Shostakovich,russian_program,found in school75 program,score data likely in protected editions,high; Shostakovich died 1975,no,exclude until licensed,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Metadata only
ru_017,Сладкая греза,Tchaikovsky / Children's Album,ru_world_classical,found in school75 program,IMSLP page has Children's Album data and MIDI,low for composition; check edition/arrangement,yes_with_own_arrangement,derive recorder melody from PD score/MIDI,https://imslp.org/wiki/Children%27s_Album%2C_Op.39_%28Tchaikovsky%2C_Pyotr%29,Good import candidate
ru_018,Грустная песенка,Tchaikovsky / Op.40,ru_world_classical,found in school75 program,IMSLP/list data confirms work,low for composition; check edition,yes_with_own_arrangement,derive melody from PD source,https://imslp.org/wiki/List_of_works_by_Pyotr_Tchaikovsky,Good import candidate
ru_019,Старинная французская песенка,Tchaikovsky / Children's Album,ru_world_classical,found in school75/Rakhmaninov programs,IMSLP Children's Album has data/MIDI,low for composition; check edition,yes_with_own_arrangement,derive recorder melody from PD score/MIDI,https://imslp.org/wiki/Children%27s_Album%2C_Op.39_%28Tchaikovsky%2C_Pyotr%29,Good import candidate
ru_020,Немецкий танец,Haydn,russian_program,found in school75 program,PD score data likely,low for composition; exact piece needed,yes_with_own_arrangement,identify exact Haydn dance,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Title ambiguous
ru_021,Менуэт из Дон Жуана,Mozart,russian_program,found in school75 program,PD score data available,low for composition; arrangement check,yes_with_own_arrangement,create excerpt arrangement,https://imslp.org/,Good import candidate
ru_022,Экосез,Beethoven,russian_program,found in school75 program,PD score data likely,low for composition; exact piece needed,yes_with_own_arrangement,identify exact ecossaise and arrange,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Good level 3 candidate
ru_023,Марш,C. P. E. Bach,russian_program,found in school75 program,PD score data likely,low for composition; exact piece needed,yes_with_own_arrangement,identify exact march and arrange,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Needs disambiguation
ru_024,Старинный танец,Dussek,russian_program,found in school75/nsportal programs,PD composer but educational arrangement may be protected,medium,maybe_after_source_check,identify exact PD source or create own arrangement,https://nsportal.ru/kultura/muzykalnoe-iskusstvo/library/2016/12/16/rabochaya-programma-po-predmetu-muzykalnyy,Do not bundle found collection scan without license
ru_025,Зима фрагмент,Vivaldi / Four Seasons,russian_program,found in school75 program,PD score data available,low for composition; arrangement check,yes_with_own_arrangement,create simplified excerpt,https://imslp.org/,Level 3/4
ru_026,Симфония 9 фрагмент,Beethoven,russian_program,found in school75 program,PD score data available,low for composition; arrangement check,yes_with_own_arrangement,use Ode to Joy entry or create separate excerpt,https://imslp.org/wiki/Symphony_No.9%2C_Op.125_%28Beethoven%2C_Ludwig_van%29,May duplicate world_001
ru_027,Слеза,Mussorgsky,russian_program,found in school75 program,PD score data likely,low for composition; edition check,yes_with_own_arrangement,locate PD score and create melody extraction,https://imslp.org/,Level 4
ru_028,Немецкий танец,Glinka,russian_program,found in school75 program,PD score data likely,low for composition; exact source check,yes_with_own_arrangement,identify exact piece and arrange,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Level 4
ru_029,Вальс,Poulenc,russian_program,found in school75 program,score data likely protected,high; Poulenc died 1963 and editions likely protected,no,exclude until licensed,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Metadata only
ru_030,Аллегро,Handel,russian_program,found in school75 program,PD score data likely,low for composition; exact movement needed,yes_with_own_arrangement,identify exact Handel movement,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Good baroque candidate
ru_031,Мелодия,Krein,russian_program,found in school75 program,score likely protected/unclear,high_or_unknown,no,exclude until author/date/license confirmed,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Metadata only
ru_032,Андантино с вариациями из дуэта для двух флейт,Mozart,russian_program,found in school75 program,PD score data available,low for composition; arrangement check,yes_with_own_arrangement,adapt one recorder line or duet version,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Possible ensemble piece
ru_033,Сицилиана,Blavet,russian_program,found in school75 program,PD score data likely,low for composition; edition check,yes_with_own_arrangement,locate PD source and adapt,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Baroque level 4
ru_034,Сарабанда,Blavet,russian_program,found in school75 program,PD score data likely,low for composition; edition check,yes_with_own_arrangement,locate PD source and adapt,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Baroque level 4
ru_035,Ларго,Quantz,russian_program,found in school75 program,PD score data likely,low for composition; exact movement needed,yes_with_own_arrangement,locate PD source and adapt,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Baroque level 4
ru_036,Полонез,Bach,russian_program,found in Rakhmaninov blockflute program,PD score data likely,low for composition; exact piece needed,yes_with_own_arrangement,identify exact Bach/Petzold piece,https://rahmaninovschool.spb.ru/f/blok-flejta_2god_2021.pdf,Good level 3/4 candidate
ru_037,Бурре,Handel,russian_program,found in Rakhmaninov blockflute program,PD score data likely,low for composition; exact piece needed,yes_with_own_arrangement,identify exact bourree and adapt,https://rahmaninovschool.spb.ru/f/blok-flejta_2god_2021.pdf,Good level 3/4 candidate
ru_038,Народная песня,Grieg,russian_program,found in Rakhmaninov blockflute program,PD score data likely,low for Grieg; exact piece needed,yes_with_own_arrangement,identify exact piece and adapt,https://rahmaninovschool.spb.ru/f/blok-flejta_2god_2021.pdf,Title ambiguous
ru_039,Песня индийского гостя,Rimsky-Korsakov / Sadko,russian_program,found in prior program shortlist,IMSLP has score/parts,low for composition; arrangement check,yes_with_own_arrangement,create simplified recorder excerpt from PD source,https://s9.imslp.org/files/imglnks/usimg/d/d4/IMSLP390497-PMLP22160-RIMSKY-KORSAKOV_Song_of_the_Indian_Guest_-_Oboe.pdf,Oboe part useful as melody reference
ru_040,Куранта,Frescobaldi,russian_program,found in school75 program,PD score data likely,low for composition; exact piece needed,yes_with_own_arrangement,identify exact courante and adapt,https://school75.edu.yar.ru/obrazovatelnie_programmi/dopolnitelnoe_obrazovanie/2023-2024/programma_blokfleyta.pdf,Level 4/5
tatar_001,Райхан,Tatar folk / arr. J. Faizi,tatar_program,found in Tatarstan/kurae and music-instrument programs,score data exists in educational sources,low for folk melody but high for Faizi arrangement,yes_with_own_arrangement,create own melody-only recorder arrangement; do not copy Faizi arrangement,https://edu.tatar.ru/upload/storage/org5342/files/%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%BF%D0%BE%20%D0%BA%D1%83%D1%80%D0%B0%D1%8E%20%281%29.pdf,High cultural priority
tatar_002,Сабантуй,Tatar folk / arr. N. Zhiganov,tatar_program,found in Tatarstan program evidence,score data exists in educational sources,low for folk melody but high for Zhiganov arrangement,yes_with_own_arrangement,create own recorder arrangement from folk theme only,https://edu.tatar.ru/upload/storage/org5342/files/%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%BF%D0%BE%20%D0%BA%D1%83%D1%80%D0%B0%D1%8E%20%281%29.pdf,Do not bundle protected arrangement
tatar_003,Бию,Tatar folk melody,tatar_program,found in Tatarstan flute/kurae program evidence,score data likely in educational sources,low for folk melody; arrangement check,yes_with_own_arrangement,create own simple dance arrangement,https://edu.tatar.ru/upload/storage/org5903/files/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%BF%D0%BE%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%D1%83%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BC%D0%B5%D1%82%D1%83%20%D0%9F%D0%9E_01_%D0%A3%D0%9F_01_%D0%A4%D0%BB%D0%B5%D0%B9%D1%82%D0%B0%2C%20%D1%81%D1%80%D0%BE%D0%BA%20%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8%205%20%286%29%20%D0%BB%D0%B5%D1%82.pdf,Good level 2/3 candidate
tatar_004,Маленький вальс,M. Muzaffarov,tatar_program,found in Tatarstan program evidence,score likely protected,high; Muzaffarov died 1966,no,exclude until licensed,https://edu.tatar.ru/upload/storage/org5903/files/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%BF%D0%BE%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%D1%83%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BC%D0%B5%D1%82%D1%83%20%D0%9F%D0%9E_01_%D0%A3%D0%9F_01_%D0%A4%D0%BB%D0%B5%D0%B9%D1%82%D0%B0%2C%20%D1%81%D1%80%D0%BE%D0%BA%20%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8%205%20%286%29%20%D0%BB%D0%B5%D1%82.pdf,Metadata only
tatar_005,Алмагачлары,Tatar folk,tatar_program,found in prior Tatar repertoire shortlist and folk collections,score data likely,low for folk melody; arrangement check,yes_with_own_arrangement,locate reliable tune source and arrange,https://edu.tatar.ru/upload/storage/org5903/files/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%BF%D0%BE%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%D1%83%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BC%D0%B5%D1%82%D1%83%20%D0%9F%D0%9E_01_%D0%A3%D0%9F_01_%D0%A4%D0%BB%D0%B5%D0%B9%D1%82%D0%B0%2C%20%D1%81%D1%80%D0%BE%D0%BA%20%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8%205%20%286%29%20%D0%BB%D0%B5%D1%82.pdf,Good level 3 candidate
tatar_006,Кәрия-Зәкәрия,Tatar folk children's song,tatar_program,found in Tatarstan educational evidence and search results,score data exists in school/folk contexts,low for folk melody; arrangement check,yes_with_own_arrangement,create own beginner arrangement,https://edu.tatar.ru/upload/storage/org5867/files/%D0%B4%D1%83%D1%85%D0%BE%D0%B2%D1%8B%D0%B5%20%D0%B8%20%D1%83%D0%B4%D0%B0%D1%80%D0%BD%D1%8B%D0%B5.pdf,High priority for young learners
tatar_007,Зәңгәр күл,S. Saydashev,tatar_program,found in Tatarstan flute program evidence,score likely available,medium; Saydashev died 1954 but editions/arrangements may be protected,maybe_after_source_check,verify public-domain status and use own arrangement if allowed,https://edu.tatar.ru/upload/storage/org5903/files/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%BF%D0%BE%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%D1%83%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BC%D0%B5%D1%82%D1%83%20%D0%9F%D0%9E_01_%D0%A3%D0%9F_01_%D0%A4%D0%BB%D0%B5%D0%B9%D1%82%D0%B0%2C%20%D1%81%D1%80%D0%BE%D0%BA%20%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8%205%20%286%29%20%D0%BB%D0%B5%D1%82.pdf,Do legal verification before bundling
tatar_008,Туган тел,Tatar folk tune / G. Tukay text,tatar_program,found in Tatar/Kurae and school music evidence,score/scheme data exists,low/medium; melody may be traditional but exact arrangement protected,yes_with_own_arrangement,create instrumental-only own arrangement; avoid lyrics initially,https://infourok.ru/uchebno-metodicheskoe-posobie-osnovy-obucheniya-igry-na-kurae-7263888.html,Cultural priority
tatar_009,Әпипә,Tatar folk,tatar_program,found in Tatarstan instrument programs,score data exists in educational contexts,low for folk melody; arrangement check,yes_with_own_arrangement,create own beginner arrangement,https://edu.tatar.ru/upload/storage/org5867/files/02%20%D0%9F%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BA%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B5%20%D0%94%D0%9C%D0%A8%20%E2%84%965%20-%20%D0%B4%D1%83%D1%85%D0%BE%D0%B2%D1%8B%D0%B5%20%D0%B8%20%D1%83%D0%B4%D0%B0%D1%80%D0%BD%D1%8B%D0%B5%20%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D1%8B.pdf,High priority
tatar_010,Әнисә,Tatar folk,tatar_program,found in kurae methodological repertoire,score data likely,low for folk melody; arrangement check,yes_with_own_arrangement,locate reliable tune source and arrange,https://infourok.ru/uchebno-metodicheskoe-posobie-osnovy-obucheniya-igry-na-kurae-7263888.html,Good level 3
tatar_011,Сандугач-күгәрчен,Tatar folk,tatar_program,found in kurae methodological repertoire,score data likely,low for folk melody; arrangement check,yes_with_own_arrangement,locate reliable tune source and arrange,https://infourok.ru/uchebno-metodicheskoe-posobie-osnovy-obucheniya-igry-na-kurae-7263888.html,Good level 3
tatar_012,Ай былбылым,Tatar folk/song,tatar_program,common Tatar repertoire; not yet confirmed in blockflute source,score data likely but source not confirmed,low/medium; arrangement check,maybe_after_source_check,find reliable score source then make own recorder arrangement,,Needs source confirmation before import
tatar_013,Су буйлап,Tatar folk/song,tatar_program,common Tatar repertoire; not yet confirmed in blockflute source,score data likely but source not confirmed,low/medium; arrangement check,maybe_after_source_check,find reliable score source then make own recorder arrangement,,Needs source confirmation before import
tatar_014,Кара урман,Tatar folk/song,tatar_program,common Tatar repertoire; not yet confirmed in blockflute source,score data likely but source not confirmed,low/medium; arrangement check,maybe_after_source_check,find reliable score source then make own recorder arrangement,,Likely advanced due range/ornamentation
tatar_015,Сарман,Tatar folk/song,tatar_program,common Tatar repertoire; not yet confirmed in blockflute source,score data likely but source not confirmed,low/medium; arrangement check,maybe_after_source_check,find reliable score source then make own recorder arrangement,,Needs source confirmation before import
tatar_016,Каз канаты,Tatar folk/song,tatar_program,common Tatar repertoire; not yet confirmed in blockflute source,score data likely but source not confirmed,low/medium; arrangement check,maybe_after_source_check,find reliable score source then make own recorder arrangement,,Needs source confirmation before import
